time,q,p,r
202,False,True,False
203,False,True,False
204,False,True,False
205,False,True,False
206,False,True,True
207,False,False,False
208,True,True,False
209,False,True,False
210,False,True,False
211,False,True,False
212,False,True,False
213,False,True,False
214,False,True,False
215,False,True,True
216,False,False,False
217,True,True,False
218,False,True,False
219,False,True,False
220,False,True,False
221,False,True,False
222,False,True,False
223,False,True,False
224,False,True,False
225,False,True,True
226,False,False,False
227,True,True,False
228,False,True,False
229,False,True,False
230,False,True,False
231,False,True,False
232,False,True,False
233,False,True,False
234,False,True,False
235,False,True,True
236,False,False,False
237,True,True,False
238,False,True,False
239,False,True,False
240,False,True,False
241,False,True,True
242,False,False,False
243,True,True,False
244,False,True,False
245,False,True,False
246,False,True,False
247,False,True,False
248,False,True,False
249,False,True,True
250,False,False,False
251,True,True,False
252,False,True,False
253,False,True,False
254,False,True,False
255,False,True,False
256,False,True,False
257,False,True,False
258,False,True,False
259,False,True,True
260,False,False,False
261,True,True,False
262,False,True,False
263,False,True,False
264,False,True,False
265,False,True,False
266,False,True,True
267,False,False,False
268,True,True,False
269,False,True,False
270,False,True,False
271,False,True,False
272,False,True,False
273,False,True,False
274,False,True,False
275,False,True,False
276,False,True,False
277,False,True,True
278,False,False,False
279,True,True,False
280,False,True,False
281,False,True,False
282,False,True,False
283,False,True,False
284,False,True,True
285,False,False,False
286,True,True,False
287,False,True,False
288,False,True,False
289,False,True,False
290,False,True,False
291,False,True,False
292,False,True,False
293,False,True,False
294,False,True,False
295,False,True,False
296,False,True,True
297,False,False,False
298,True,True,False
299,False,True,False
300,False,True,False
301,False,True,False
302,False,True,False
303,False,True,False
304,False,True,False
305,False,True,False
306,False,True,False
307,False,True,True
308,False,False,False
309,True,True,False
310,False,True,False
311,False,True,False
312,False,True,False
313,False,True,False
314,False,True,False
315,False,True,False
316,False,True,False
317,False,True,False
318,False,True,False
319,False,True,True
320,False,False,False
321,True,True,False
322,False,True,False
323,False,True,False
324,False,True,False
325,False,True,False
326,False,True,False
327,False,True,True
328,False,False,False
329,True,True,False
330,False,True,False
331,False,True,False
332,False,True,False
333,False,True,False
334,False,True,False
335,False,True,False
336,False,True,False
337,False,True,False
338,False,True,True
339,False,False,False
340,True,True,False
341,False,True,False
342,False,True,False
343,False,True,False
344,False,True,False
345,False,True,True
346,False,False,False
347,True,True,False
348,False,True,False
349,False,True,False
350,False,True,False
351,False,True,False
352,False,True,True
353,False,False,False
354,True,True,False
355,False,True,False
356,False,True,False
357,False,True,False
358,False,True,False
359,False,True,False
360,False,True,False
361,False,True,True
362,False,False,False
363,True,True,False
364,False,True,False
365,False,True,False
366,False,True,False
367,False,True,False
368,False,True,True
369,False,False,False
370,True,True,False
371,False,True,False
372,False,True,False
373,False,True,False
374,False,True,False
375,False,True,True
376,False,False,False
377,True,True,False
378,False,True,False
379,False,True,False
380,False,True,False
381,False,True,False
382,False,True,True
383,False,False,False
384,True,True,False
385,False,True,False
386,False,True,False
387,False,True,False
388,False,True,True
389,False,False,False
390,True,True,False
391,False,True,False
392,False,True,False
393,False,True,False
394,False,True,False
395,False,True,False
396,False,True,False
397,False,True,True
398,False,False,False
399,True,True,False
400,False,True,False
401,False,True,False
402,False,True,False
403,False,True,False
404,False,True,False
405,False,True,True
406,False,False,False
407,True,True,False
408,False,True,False
409,False,True,False
410,False,True,False
411,False,True,False
412,False,True,False
413,False,True,False
414,False,True,False
415,False,True,False
416,False,True,False
417,False,True,True
418,False,False,False
419,True,True,False
420,False,True,False
421,False,True,False
422,False,True,False
423,False,True,False
424,False,True,False
425,False,True,False
426,False,True,False
427,False,True,False
428,False,True,True
429,False,False,False
430,True,True,False
431,False,True,False
432,False,True,False
433,False,True,False
434,False,True,False
435,False,True,False
436,False,True,False
437,False,True,False
438,False,True,False
439,False,True,True
440,False,False,False
441,True,True,False
442,False,True,False
443,False,True,False
444,False,True,False
445,False,True,True
446,False,False,False
447,True,True,False
448,False,True,False
449,False,True,False
450,False,True,False
451,False,True,False
452,False,True,True
453,False,False,False
454,True,True,False
455,False,True,False
456,False,True,False
457,False,True,False
458,False,True,False
459,False,True,False
460,False,True,False
461,False,True,False
462,False,True,False
463,False,True,False
464,False,True,True
465,False,False,False
466,True,True,False
467,False,True,False
468,False,True,False
469,False,True,False
470,False,True,False
471,False,True,False
472,False,True,False
473,False,True,False
474,False,True,False
475,False,True,True
476,False,False,False
477,True,True,False
478,False,True,False
479,False,True,False
480,False,True,False
481,False,True,False
482,False,True,False
483,False,True,False
484,False,True,True
485,False,False,False
486,True,True,False
487,False,True,False
488,False,True,False
489,False,True,False
490,False,True,False
491,False,True,False
492,False,True,False
493,False,True,False
494,False,True,False
495,False,True,True
496,False,False,False
497,True,True,False
498,False,True,False
499,False,True,False
500,False,True,False
501,False,True,False
502,False,True,False
503,False,True,False
504,False,True,False
505,False,True,True
506,False,False,False
507,True,True,False
508,False,True,False
509,False,True,False
510,False,True,False
511,False,True,True
512,False,False,False
513,True,True,False
514,False,True,False
515,False,True,False
516,False,True,False
517,False,True,False
518,False,True,True
519,False,False,False
520,True,True,False
521,False,True,False
522,False,True,False
523,False,True,False
524,False,True,False
525,False,True,False
526,False,True,False
527,False,True,True
528,False,False,False
529,True,True,False
530,False,True,False
531,False,True,False
532,False,True,False
533,False,True,False
534,False,True,False
535,False,True,True
536,False,False,False
537,True,True,False
538,False,True,False
539,False,True,False
540,False,True,False
541,False,True,False
542,False,True,False
543,False,True,False
544,False,True,False
545,False,True,True
546,False,False,False
547,True,True,False
548,False,True,False
549,False,True,False
550,False,True,False
551,False,True,True
552,False,False,False
553,True,True,False
554,False,True,False
555,False,True,False
556,False,True,False
557,False,True,True
558,False,False,False
559,True,True,False
560,False,True,False
561,False,True,False
562,False,True,False
563,False,True,False
564,False,True,False
565,False,True,False
566,False,True,True
567,False,False,False
568,True,True,False
569,False,True,False
570,False,True,False
571,False,True,False
572,False,True,False
573,False,True,False
574,False,True,False
575,False,True,True
576,False,False,False
577,True,True,False
578,False,True,False
579,False,True,False
580,False,True,False
581,False,True,False
582,False,True,True
583,False,False,False
584,True,True,False
585,False,True,False
586,False,True,False
587,False,True,False
588,False,True,False
589,False,True,False
590,False,True,False
591,False,True,False
592,False,True,False
593,False,True,False
594,False,True,True
595,False,False,False
596,True,True,False
597,False,True,False
598,False,True,False
599,False,True,False
600,False,True,False
601,False,True,False
602,False,True,False
603,False,True,False
604,False,True,False
605,False,True,True
606,False,False,False
607,True,True,False
608,False,True,False
609,False,True,False
610,False,True,False
611,False,True,True
612,False,False,False
613,True,True,False
614,False,True,False
615,False,True,False
616,False,True,False
617,False,True,True
618,False,False,False
619,True,True,False
620,False,True,False
621,False,True,False
622,False,True,False
623,False,True,False
624,False,True,False
625,False,True,False
626,False,True,False
627,False,True,False
628,False,True,True
629,False,False,False
630,True,True,False
631,False,True,False
632,False,True,False
633,False,True,False
634,False,True,False
635,False,True,True
636,False,False,False
637,True,True,False
638,False,True,False
639,False,True,False
640,False,True,False
641,False,True,False
642,False,True,False
643,False,True,False
644,False,True,True
645,False,False,False
646,True,True,False
647,False,True,False
648,False,True,False
649,False,True,False
650,False,True,False
651,False,True,False
652,False,True,False
653,False,True,True
654,False,False,False
655,True,True,False
656,False,True,False
657,False,True,False
658,False,True,False
659,False,True,False
660,False,True,False
661,False,True,False
662,False,True,False
663,False,True,False
664,False,True,False
665,False,True,True
666,False,False,False
667,True,True,False
668,False,True,False
669,False,True,False
670,False,True,False
671,False,True,False
672,False,True,False
673,False,True,True
674,False,False,False
675,True,True,False
676,False,True,False
677,False,True,False
678,False,True,False
679,False,True,False
680,False,True,False
681,False,True,False
682,False,True,False
683,False,True,False
684,False,True,True
685,False,False,False
686,True,True,False
687,False,True,False
688,False,True,False
689,False,True,False
690,False,True,False
691,False,True,False
692,False,True,False
693,False,True,True
694,False,False,False
695,True,True,False
696,False,True,False
697,False,True,False
698,False,True,False
699,False,True,False
700,False,True,True
701,False,False,False
702,True,True,False
703,False,True,False
704,False,True,False
705,False,True,False
706,False,True,False
707,False,True,False
708,False,True,False
709,False,True,True
710,False,False,False
711,True,True,False
712,False,True,False
713,False,True,False
714,False,True,False
715,False,True,False
716,False,True,False
717,False,True,True
718,False,False,False
719,True,True,False
720,False,True,False
721,False,True,False
722,False,True,False
723,False,True,False
724,False,True,True
725,False,False,False
726,True,True,False
727,False,True,False
728,False,True,False
729,False,True,False
730,False,True,False
731,False,True,False
732,False,True,False
733,False,True,False
734,False,True,True
735,False,False,False
736,True,True,False
737,False,True,False
738,False,True,False
739,False,True,False
740,False,True,False
741,False,True,False
742,False,True,False
743,False,True,False
744,False,True,False
745,False,True,False
746,False,True,True
747,False,False,False
748,True,True,False
749,False,True,False
750,False,True,False
751,False,True,False
752,False,True,False
753,False,True,False
754,False,True,True
755,False,False,False
756,True,True,False
757,False,True,False
758,False,True,False
759,False,True,False
760,False,True,False
761,False,True,False
762,False,True,False
763,False,True,False
764,False,True,False
765,False,True,True
766,False,False,False
767,True,True,False
768,False,True,False
769,False,True,False
770,False,True,False
771,False,True,False
772,False,True,False
773,False,True,False
774,False,True,True
775,False,False,False
776,True,True,False
777,False,True,False
778,False,True,False
779,False,True,False
780,False,True,False
781,False,True,False
782,False,True,False
783,False,True,False
784,False,True,False
785,False,True,True
786,False,False,False
787,True,True,False
788,False,True,False
789,False,True,False
790,False,True,False
791,False,True,False
792,False,True,False
793,False,True,False
794,False,True,False
795,False,True,False
796,False,True,True
797,False,False,False
798,True,True,False
799,False,True,False
800,False,True,False
801,False,True,False
802,False,True,False
803,False,True,False
804,False,True,False
805,False,True,True
806,False,False,False
807,True,True,False
808,False,True,False
809,False,True,False
810,False,True,False
811,False,True,False
812,False,True,False
813,False,True,False
814,False,True,True
815,False,False,False
816,True,True,False
817,False,True,False
818,False,True,False
819,False,True,False
820,False,True,True
821,False,False,False
822,True,True,False
823,False,True,False
824,False,True,False
825,False,True,False
826,False,True,False
827,False,True,False
828,False,True,False
829,False,True,True
830,False,False,False
831,True,True,False
832,False,True,False
833,False,True,False
834,False,True,False
835,False,True,False
836,False,True,False
837,False,True,False
838,False,True,False
839,False,True,True
840,False,False,False
841,True,True,False
842,False,True,False
843,False,True,False
844,False,True,False
845,False,True,False
846,False,True,False
847,False,True,True
848,False,False,False
849,True,True,False
850,False,True,False
851,False,True,False
852,False,True,False
853,False,True,False
854,False,True,False
855,False,True,True
856,False,False,False
857,True,True,False
858,False,True,False
859,False,True,False
860,False,True,False
861,False,True,False
862,False,True,False
863,False,True,True
864,False,False,False
865,True,True,False
866,False,True,False
867,False,True,False
868,False,True,False
869,False,True,False
870,False,True,False
871,False,True,False
872,False,True,False
873,False,True,False
874,False,True,True
875,False,False,False
876,True,True,False
877,False,True,False
878,False,True,False
879,False,True,False
880,False,True,False
881,False,True,False
882,False,True,False
883,False,True,False
884,False,True,True
885,False,False,False
886,True,True,False
887,False,True,False
888,False,True,False
889,False,True,False
890,False,True,False
891,False,True,False
892,False,True,False
893,False,True,False
894,False,True,False
895,False,True,False
896,False,True,True
897,False,False,False
898,True,True,False
899,False,True,False
900,False,True,False
901,False,True,False
902,False,True,False
903,False,True,True
904,False,False,False
905,True,True,False
906,False,True,False
907,False,True,False
908,False,True,False
909,False,True,False
910,False,True,True
911,False,False,False
912,True,True,False
913,False,True,False
914,False,True,False
915,False,True,False
916,False,True,False
917,False,True,False
918,False,True,True
919,False,False,False
920,True,True,False
921,False,True,False
922,False,True,False
923,False,True,False
924,False,True,False
925,False,True,False
926,False,True,True
927,False,False,False
928,True,True,False
929,False,True,False
930,False,True,False
931,False,True,False
932,False,True,False
933,False,True,False
934,False,True,False
935,False,True,False
936,False,True,False
937,False,True,False
938,False,True,True
939,False,False,False
940,True,True,False
941,False,True,False
942,False,True,False
943,False,True,False
944,False,True,False
945,False,True,False
946,False,True,False
947,False,True,True
948,False,False,False
949,True,True,False
950,False,True,False
951,False,True,False
952,False,True,False
953,False,True,False
954,False,True,False
955,False,True,False
956,False,True,True
957,False,False,False
958,True,True,False
959,False,True,False
960,False,True,False
961,False,True,False
962,False,True,False
963,False,True,False
964,False,True,False
965,False,True,False
966,False,True,False
967,False,True,False
968,False,True,True
969,False,False,False
970,True,True,False
971,False,True,False
972,False,True,False
973,False,True,False
974,False,True,False
975,False,True,False
976,False,True,False
977,False,True,True
978,False,False,False
979,True,True,False
980,False,True,False
981,False,True,False
982,False,True,False
983,False,True,False
984,False,True,False
985,False,True,True
986,False,False,False
987,True,True,False
988,False,True,False
989,False,True,False
990,False,True,False
991,False,True,False
992,False,True,True
993,False,False,False
994,True,True,False
995,False,True,False
996,False,True,False
997,False,True,False
998,False,True,False
999,False,True,False
1000,False,True,False
1001,False,True,False
1002,False,True,True
1003,False,False,False
1004,True,True,False
1005,False,True,False
1006,False,True,False
1007,False,True,False
1008,False,True,False
1009,False,True,False
1010,False,True,False
1011,False,True,True
1012,False,False,False
1013,True,True,False
1014,False,True,False
1015,False,True,False
1016,False,True,False
1017,False,True,False
1018,False,True,False
1019,False,True,False
1020,False,True,False
1021,False,True,False
1022,False,True,True
1023,False,False,False
1024,True,True,False
1025,False,True,False
1026,False,True,False
1027,False,True,False
1028,False,True,False
1029,False,True,False
1030,False,True,False
1031,False,True,True
1032,False,False,False
1033,True,True,False
1034,False,True,False
1035,False,True,False
1036,False,True,False
1037,False,True,False
1038,False,True,False
1039,False,True,False
1040,False,True,False
1041,False,True,False
1042,False,True,False
1043,False,True,True
1044,False,False,False
1045,True,True,False
1046,False,True,False
1047,False,True,False
1048,False,True,False
1049,False,True,False
1050,False,True,False
1051,False,True,False
1052,False,True,False
1053,False,True,True
1054,False,False,False
1055,True,True,False
1056,False,True,False
1057,False,True,False
1058,False,True,False
1059,False,True,False
1060,False,True,False
1061,False,True,False
1062,False,True,False
1063,False,True,False
1064,False,True,False
1065,False,True,True
1066,False,False,False
1067,True,True,False
1068,False,True,False
1069,False,True,False
1070,False,True,False
1071,False,True,False
1072,False,True,False
1073,False,True,False
1074,False,True,True
1075,False,False,False
1076,True,True,False
1077,False,True,False
1078,False,True,False
1079,False,True,False
1080,False,True,False
1081,False,True,False
1082,False,True,False
1083,False,True,False
1084,False,True,True
1085,False,False,False
1086,True,True,False
1087,False,True,False
1088,False,True,False
1089,False,True,False
1090,False,True,False
1091,False,True,False
1092,False,True,False
1093,False,True,False
1094,False,True,False
1095,False,True,False
1096,False,True,True
1097,False,False,False
1098,True,True,False
1099,False,True,False
1100,False,True,False
1101,False,True,False
1102,False,True,False
1103,False,True,False
1104,False,True,False
1105,False,True,False
1106,False,True,False
1107,False,True,True
1108,False,False,False
1109,True,True,False
1110,False,True,False
1111,False,True,False
1112,False,True,False
1113,False,True,False
1114,False,True,False
1115,False,True,False
1116,False,True,True
1117,False,False,False
1118,True,True,False
1119,False,True,False
1120,False,True,False
1121,False,True,False
1122,False,True,False
1123,False,True,False
1124,False,True,False
1125,False,True,False
1126,False,True,True
1127,False,False,False
1128,True,True,False
1129,False,True,False
1130,False,True,False
1131,False,True,False
1132,False,True,False
1133,False,True,False
1134,False,True,False
1135,False,True,False
1136,False,True,False
1137,False,True,True
1138,False,False,False
1139,True,True,False
1140,False,True,False
1141,False,True,False
1142,False,True,False
1143,False,True,False
1144,False,True,False
1145,False,True,False
1146,False,True,False
1147,False,True,True
1148,False,False,False
1149,True,True,False
1150,False,True,False
1151,False,True,False
1152,False,True,False
1153,False,True,False
1154,False,True,False
1155,False,True,False
1156,False,True,True
1157,False,False,False
1158,True,True,False
1159,False,True,False
1160,False,True,False
1161,False,True,False
1162,False,True,False
1163,False,True,False
1164,False,True,False
1165,False,True,False
1166,False,True,False
1167,False,True,False
1168,False,True,True
1169,False,False,False
1170,True,True,False
1171,False,True,False
1172,False,True,False
1173,False,True,False
1174,False,True,False
1175,False,True,False
1176,False,True,False
1177,False,True,False
1178,False,True,False
1179,False,True,True
1180,False,False,False
1181,True,True,False
1182,False,True,False
1183,False,True,False
1184,False,True,False
1185,False,True,False
1186,False,True,False
1187,False,True,False
1188,False,True,False
1189,False,True,False
1190,False,True,True
1191,False,False,False
1192,True,True,False
1193,False,True,False
1194,False,True,False
1195,False,True,False
1196,False,True,False
1197,False,True,False
1198,False,True,True
1199,False,False,False
1200,True,True,False
1201,False,True,False
1202,False,True,False
1203,False,True,False
1204,False,True,False
1205,False,True,False
1206,False,True,False
1207,False,True,True
1208,False,False,False
1209,True,True,False
1210,False,True,False
1211,False,True,False
1212,False,True,False
1213,False,True,False
1214,False,True,False
1215,False,True,True
1216,False,False,False
1217,True,True,False
1218,False,True,False
1219,False,True,False
1220,False,True,False
1221,False,True,False
1222,False,True,False
1223,False,True,False
1224,False,True,False
1225,False,True,False
1226,False,True,True
1227,False,False,False
1228,True,True,False
1229,False,True,False
1230,False,True,False
1231,False,True,False
1232,False,True,False
1233,False,True,False
1234,False,True,False
1235,False,True,False
1236,False,True,False
1237,False,True,False
1238,False,True,True
1239,False,False,False
1240,True,True,False
1241,False,True,False
1242,False,True,False
1243,False,True,False
1244,False,True,False
1245,False,True,False
1246,False,True,False
1247,False,True,False
1248,False,True,False
1249,False,True,True
1250,False,False,False
1251,True,True,False
1252,False,True,False
1253,False,True,False
1254,False,True,False
1255,False,True,True
1256,False,False,False
1257,True,True,False
1258,False,True,False
1259,False,True,False
1260,False,True,False
1261,False,True,True
1262,False,False,False
1263,True,True,False
1264,False,True,False
1265,False,True,False
1266,False,True,False
1267,False,True,False
1268,False,True,False
1269,False,True,False
1270,False,True,False
1271,False,True,True
1272,False,False,False
1273,True,True,False
1274,False,True,False
1275,False,True,False
1276,False,True,False
1277,False,True,False
1278,False,True,False
1279,False,True,True
1280,False,False,False
1281,True,True,False
1282,False,True,False
1283,False,True,False
1284,False,True,False
1285,False,True,False
1286,False,True,False
1287,False,True,False
1288,False,True,False
1289,False,True,False
1290,False,True,True
1291,False,False,False
1292,True,True,False
1293,False,True,False
1294,False,True,False
1295,False,True,False
1296,False,True,True
1297,False,False,False
1298,True,True,False
1299,False,True,False
1300,False,True,False
1301,False,True,False
1302,False,True,False
1303,False,True,False
1304,False,True,False
1305,False,True,False
1306,False,True,False
1307,False,True,True
1308,False,False,False
1309,True,True,False
1310,False,True,False
1311,False,True,False
1312,False,True,False
1313,False,True,False
1314,False,True,False
1315,False,True,False
1316,False,True,True
1317,False,False,False
1318,True,True,False
1319,False,True,False
1320,False,True,False
1321,False,True,False
1322,False,True,False
1323,False,True,False
1324,False,True,False
1325,False,True,True
1326,False,False,False
1327,True,True,False
1328,False,True,False
1329,False,True,False
1330,False,True,False
1331,False,True,False
1332,False,True,False
1333,False,True,False
1334,False,True,False
1335,False,True,True
1336,False,False,False
1337,True,True,False
1338,False,True,False
1339,False,True,False
1340,False,True,False
1341,False,True,False
1342,False,True,True
1343,False,False,False
1344,True,True,False
1345,False,True,False
1346,False,True,False
1347,False,True,False
1348,False,True,False
1349,False,True,False
1350,False,True,False
1351,False,True,False
1352,False,True,False
1353,False,True,True
1354,False,False,False
1355,True,True,False
1356,False,True,False
1357,False,True,False
1358,False,True,False
1359,False,True,False
1360,False,True,False
1361,False,True,False
1362,False,True,False
1363,False,True,False
1364,False,True,False
1365,False,True,True
1366,False,False,False
1367,True,True,False
1368,False,True,False
1369,False,True,False
1370,False,True,False
1371,False,True,False
1372,False,True,False
1373,False,True,False
1374,False,True,False
1375,False,True,False
1376,False,True,False
1377,False,True,True
1378,False,False,False
1379,True,True,False
1380,False,True,False
1381,False,True,False
1382,False,True,False
1383,False,True,False
1384,False,True,False
1385,False,True,False
1386,False,True,True
1387,False,False,False
1388,True,True,False
1389,False,True,False
1390,False,True,False
1391,False,True,False
1392,False,True,False
1393,False,True,False
1394,False,True,False
1395,False,True,False
1396,False,True,True
1397,False,False,False
1398,True,True,False
1399,False,True,False
1400,False,True,False
1401,False,True,False
1402,False,True,True
1403,False,False,False
1404,True,True,False
1405,False,True,False
1406,False,True,False
1407,False,True,False
1408,False,True,False
1409,False,True,True
1410,False,False,False
1411,True,True,False
1412,False,True,False
1413,False,True,False
1414,False,True,False
1415,False,True,False
1416,False,True,True
1417,False,False,False
1418,True,True,False
1419,False,True,False
1420,False,True,False
1421,False,True,False
1422,False,True,False
1423,False,True,False
1424,False,True,False
1425,False,True,False
1426,False,True,False
1427,False,True,True
1428,False,False,False
1429,True,True,False
1430,False,True,False
1431,False,True,False
1432,False,True,False
1433,False,True,False
1434,False,True,False
1435,False,True,True
1436,False,False,False
1437,True,True,False
1438,False,True,False
1439,False,True,False
1440,False,True,False
1441,False,True,False
1442,False,True,False
1443,False,True,False
1444,False,True,False
1445,False,True,False
1446,False,True,False
1447,False,True,True
1448,False,False,False
1449,True,True,False
1450,False,True,False
1451,False,True,False
1452,False,True,False
1453,False,True,False
1454,False,True,False
1455,False,True,False
1456,False,True,False
1457,False,True,True
1458,False,False,False
1459,True,True,False
1460,False,True,False
1461,False,True,False
1462,False,True,False
1463,False,True,False
1464,False,True,False
1465,False,True,False
1466,False,True,False
1467,False,True,False
1468,False,True,False
1469,False,True,True
1470,False,False,False
1471,True,True,False
1472,False,True,False
1473,False,True,False
1474,False,True,False
1475,False,True,True
1476,False,False,False
1477,True,True,False
1478,False,True,False
1479,False,True,False
1480,False,True,False
1481,False,True,False
1482,False,True,True
1483,False,False,False
1484,True,True,False
1485,False,True,False
1486,False,True,False
1487,False,True,False
1488,False,True,False
1489,False,True,False
1490,False,True,False
1491,False,True,False
1492,False,True,False
1493,False,True,True
1494,False,False,False
1495,True,True,False
1496,False,True,False
1497,False,True,False
1498,False,True,False
1499,False,True,False
1500,False,True,False
1501,False,True,False
1502,False,True,True
1503,False,False,False
1504,True,True,False
1505,False,True,False
1506,False,True,False
1507,False,True,False
1508,False,True,False
1509,False,True,False
1510,False,True,False
1511,False,True,False
1512,False,True,False
1513,False,True,True
1514,False,False,False
1515,True,True,False
1516,False,True,False
1517,False,True,False
1518,False,True,False
1519,False,True,False
1520,False,True,False
1521,False,True,False
1522,False,True,False
1523,False,True,False
1524,False,True,False
1525,False,True,True
1526,False,False,False
1527,True,True,False
1528,False,True,False
1529,False,True,False
1530,False,True,False
1531,False,True,False
1532,False,True,True
1533,False,False,False
1534,True,True,False
1535,False,True,False
1536,False,True,False
1537,False,True,False
1538,False,True,True
1539,False,False,False
1540,True,True,False
1541,False,True,False
1542,False,True,False
1543,False,True,False
1544,False,True,False
1545,False,True,False
1546,False,True,False
1547,False,True,True
1548,False,False,False
1549,True,True,False
1550,False,True,False
1551,False,True,False
1552,False,True,False
1553,False,True,False
1554,False,True,False
1555,False,True,False
1556,False,True,True
1557,False,False,False
1558,True,True,False
1559,False,True,False
1560,False,True,False
1561,False,True,False
1562,False,True,False
1563,False,True,True
1564,False,False,False
1565,True,True,False
1566,False,True,False
1567,False,True,False
1568,False,True,False
1569,False,True,False
1570,False,True,True
1571,False,False,False
1572,True,True,False
1573,False,True,False
1574,False,True,False
1575,False,True,False
1576,False,True,False
1577,False,True,False
1578,False,True,False
1579,False,True,True
1580,False,False,False
1581,True,True,False
1582,False,True,False
1583,False,True,False
1584,False,True,False
1585,False,True,False
1586,False,True,False
1587,False,True,True
1588,False,False,False
1589,True,True,False
1590,False,True,False
1591,False,True,False
1592,False,True,False
1593,False,True,False
1594,False,True,True
1595,False,False,False
1596,True,True,False
1597,False,True,False
1598,False,True,False
1599,False,True,False
1600,False,True,True
1601,False,False,False
1602,True,True,False
1603,False,True,False
1604,False,True,False
1605,False,True,False
1606,False,True,False
1607,False,True,True
1608,False,False,False
1609,True,True,False
1610,False,True,False
1611,False,True,False
1612,False,True,False
1613,False,True,False
1614,False,True,False
1615,False,True,False
1616,False,True,False
1617,False,True,False
1618,False,True,True
1619,False,False,False
1620,True,True,False
1621,False,True,False
1622,False,True,False
1623,False,True,False
1624,False,True,False
1625,False,True,False
1626,False,True,False
1627,False,True,False
1628,False,True,True
1629,False,False,False
1630,True,True,False
1631,False,True,False
1632,False,True,False
1633,False,True,False
1634,False,True,False
1635,False,True,False
1636,False,True,False
1637,False,True,False
1638,False,True,False
1639,False,True,False
1640,False,True,True
1641,False,False,False
1642,True,True,False
1643,False,True,False
1644,False,True,False
1645,False,True,False
1646,False,True,False
1647,False,True,False
1648,False,True,True
1649,False,False,False
1650,True,True,False
1651,False,True,False
1652,False,True,False
1653,False,True,False
1654,False,True,False
1655,False,True,False
1656,False,True,False
1657,False,True,False
1658,False,True,False
1659,False,True,True
1660,False,False,False
1661,True,True,False
1662,False,True,False
1663,False,True,False
